structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_transfer_time
GLU,29,6,1,28,14,2,25.599215,0.000453,0.000444,0.000896,5.177216,0.348288,5.525504,1.093344
alkane_64,192,6,1,30,20,2,38.637041,0.013026,0.012976,0.026002,0.495456,0.29888,0.794336,7.392961
alkane_128,384,6,1,30,21,2,38.625414,0.052005,0.051905,0.103909,0.603136,0.274432,0.877568,21.010399
dna,387,6,2,165,69,3,44.083036,0.232068,0.231803,0.463871,3.5712,0.805408,4.376608,84.105629
alkane_256,768,6,1,30,21,2,54.160045,0.207819,0.207618,0.415437,0.977632,0.271296,1.248928,97.602722
1lyz-lysozyme,1102,6,2,309,99,3,239.119671,1.7499,1.748891,3.498791,9.49248,0.845568,10.338048,659.180969
103l-hydrolase,1404,6,2,312,99,3,338.086432,2.816439,2.81515,5.631588,11.214592,0.857408,12.072,1044.699097
alkane_512,1536,6,1,30,21,2,113.497335,0.830875,0.830472,1.661347,1.503488,0.508096,2.011584,369.374634
alkane_1024,3072,6,1,30,21,2,329.079122,3.322695,3.321889,6.644584,2.708224,0.590464,3.298688,1438.097656
alkane_2048,6144,6,1,30,21,2,1725.059579,13.289168,13.287555,26.576724,4.67184,0.517344,5.189184,5091.38916
