structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_transfer_time
GLU,29,6,1,28,14,2,11.985369,0.000453,0.000444,0.000896,10.739712,2.131936,12.871648,0.95456
alkane_64,192,6,1,30,20,2,8.41422,0.013026,0.012976,0.026002,9.414656,1.933568,11.348224,6.645632
alkane_128,384,6,1,30,21,2,14.909392,0.052005,0.051905,0.103909,17.855583,2.703648,20.559231,21.178593
dna,387,6,2,165,69,3,59.047182,0.232068,0.231803,0.463871,212.961273,9.908224,222.869492,87.494461
101d-netropsin-and-dna,556,6,2,484,203,3,105.978783,0.479133,0.478153,0.957286,383.203156,10.9088,394.111969,166.83017
alkane_256,768,6,1,30,21,2,32.171431,0.207819,0.207618,0.415437,50.085888,5.07904,55.164928,90.081284
1lyz-lysozyme,1102,6,2,311,99,3,210.940091,1.7499,1.748891,3.498791,541.932922,15.230976,557.163879,575.938538
103l-hydrolase,1404,6,2,309,99,3,320.77493,2.816439,2.81515,5.631588,673.622864,17.464289,691.087158,962.728943
alkane_512,1536,6,1,30,21,2,86.739008,0.830875,0.830472,1.661347,71.779327,6.709184,78.48851,292.157104
alkane_1024,3072,6,1,30,21,2,290.79289,3.322695,3.321889,6.644584,137.043198,11.519104,148.562302,1141.643188
