structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_transfer_time
GLU,29,6,1,28,14,2,207.096718,0.000453,0.000444,0.000896,7.103488,0.893952,7.99744,1.40288
alkane_64,192,6,1,30,20,2,170.13382,0.013026,0.012976,0.026002,1.390592,0.833536,2.224128,20.945919
alkane_128,384,6,1,30,21,2,200.90181,0.052005,0.051905,0.103909,1.4592,0.63488,2.09408,55.159805
dna,387,6,2,165,69,3,306.0093,0.232067,0.231803,0.463871,13.897728,1.449984,15.347712,196.754425
alkane_256,768,6,1,30,21,2,234.29962,0.207819,0.207618,0.415437,2.608128,0.641024,3.249152,175.925247
1lyz-lysozyme,1102,6,2,311,99,3,940.848039,1.7499,1.748891,3.498791,35.352577,1.903616,37.256195,1787.806641
103l-hydrolase,1404,6,2,313,99,3,1202.823509,2.816439,2.81515,5.631588,43.544575,1.681408,45.225983,2371.649414
alkane_512,1536,6,1,30,21,2,312.785093,0.830875,0.830472,1.661347,4.788224,0.902144,5.690368,677.422119
alkane_1024,3072,6,1,30,21,2,590.315755,3.322695,3.321889,6.644584,9.10336,1.415168,10.518528,2746.833984
alkane_2048,6144,6,1,30,21,2,2647.748654,13.289168,13.287555,26.576724,18.849792,1.565696,20.415489,13466.28125
