structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,4.468119,1e-06,0.0,2e-06,13.2864,2.23744,15.52384,441.87507405877113
LiH,2,6,1,1,0,2,3.097572,4e-06,2e-06,6e-06,2.838528,2.336768,5.175296,6.706437095999718
GLU,29,6,1,28,14,2,2.990271,0.000453,0.000444,0.000896,0.673792,0.365568,1.03936,3.612169995903969
alkane_10,30,6,1,25,13,2,16.227024,0.000324,0.000317,0.000641,0.881664,0.678912,1.560576,3.2600690610706806
dna,387,6,2,165,69,3,59.115926,0.232067,0.231803,0.463871,11.357184,1.307648,12.664832,288.1059690844268
alkane_342,1026,6,1,30,21,2,49.204996,0.370811,0.370542,0.741353,4.456448,0.649216,5.105664,420.39906792342657
1lyz-lysozyme,1102,6,2,311,99,3,323.37584,1.7499,1.748891,3.498791,37.312511,1.56672,38.87923,2167.4994970671837
103l-hydrolase,1404,6,2,312,99,3,308.512242,2.816439,2.81515,5.631589,47.127552,1.743872,48.871426,3002.619547070936
alkane_674,2022,6,1,30,21,2,132.461852,1.439677,1.439146,2.878823,8.052736,0.912384,8.96512,1577.2029738873243
alkane_1006,3018,6,1,30,21,2,289.686635,3.206922,3.20613,6.413052,11.73504,1.130496,12.865536,2776.2439891230315
alkane_1338,4014,6,1,30,21,2,518.863037,5.672547,5.671493,11.34404,15.514624,1.318912,16.833536,5883.492721943185
alkane_1671,5013,6,1,30,21,2,712.889699,8.847136,8.845819,17.692955,19.229696,1.516544,20.746241,8260.154891991988
