structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.245974,1e-06,0.0,2e-06,10.031424,0.658176,10.6896,608.4884279407561
GLU,29,6,1,28,14,2,3.443478,0.000453,0.000444,0.000896,0.441696,0.258944,0.70064,2.3772839922457933
alkane_10,30,6,1,25,13,2,2.210733,0.000324,0.000317,0.000641,0.424256,0.228608,0.652864,1.6292850486934185
dna,387,6,2,164,69,3,211.293155,0.232067,0.231803,0.463871,6.014976,0.74256,6.757536,168.65445603616536
alkane_342,1026,6,1,30,21,2,105.938377,0.370811,0.370542,0.741353,2.136928,0.404,2.540928,247.02373682521284
1lyz-lysozyme,1102,6,2,311,99,3,696.4796,1.7499,1.748891,3.498791,17.704096,0.941344,18.645439,1201.0442281607538
103l-hydrolase,1404,6,2,312,99,3,847.901421,2.816439,2.81515,5.631588,22.189312,1.027264,23.216576,1714.017536956817
alkane_674,2022,6,1,30,21,2,284.786974,1.439677,1.439146,2.878823,3.951232,0.482048,4.43328,882.320410106331
alkane_1006,3018,6,1,30,21,2,546.00888,3.206922,3.20613,6.413052,5.78576,0.6376,6.42336,1878.9834540802983
alkane_1338,4014,6,1,30,21,2,885.984866,5.672547,5.671493,11.34404,7.644736,0.728448,8.373184,3075.2663831226528
alkane_1671,5013,6,1,30,21,2,1315.880618,8.847136,8.845819,17.692955,9.437696,0.9608,10.398497,4849.9285590369245
