structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.954027,1e-06,0.0,2e-06,8.014848,0.521056,8.535904,77.88803700168499
alkane_10,30,6,1,25,13,2,2.324424,0.000324,0.000317,0.000641,2.471936,1.0616,3.533536,4.221308998239692
dna,387,6,2,165,69,3,299.657009,0.232068,0.231803,0.463871,318.543884,8.042496,326.586365,440.13203700160375
alkane_342,1026,6,1,30,21,2,106.417242,0.370811,0.370542,0.741353,79.939583,5.899104,85.838684,239.8356909980066
1lyz-lysozyme,1102,6,2,309,99,3,739.114295,1.7499,1.748891,3.498791,954.737671,16.034657,970.772339,1698.0884799995692
103l-hydrolase,1404,6,2,310,99,3,946.643398,2.816438,2.81515,5.631588,1199.593506,19.289248,1218.882812,2374.4721289986046
alkane_674,2022,6,1,30,21,2,262.096309,1.439677,1.439146,2.878823,157.29277,10.384384,167.677155,759.3905530011399
alkane_1006,3018,6,1,30,21,2,472.485591,3.206922,3.20613,6.413052,234.997116,14.39264,249.389755,1579.5545500004664
alkane_1338,4014,6,1,30,21,2,750.599854,5.672547,5.671493,11.34404,312.535034,18.821119,331.35614,2766.0114579994115
alkane_1671,5013,6,1,30,21,2,1057.117993,8.847136,8.845819,17.692955,13796.608398,683.699219,14480.307617,17823.484353000822
