structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.115343,1e-06,0.0,2e-06,11.813888,2.1248,13.938687,219.10872170701623
alkane_10,30,6,1,25,13,2,2.123749,0.000324,0.000317,0.000641,0.969728,0.463872,1.4336,2.9072025790810585
dna,387,6,2,164,69,3,116.002454,0.232068,0.231803,0.463871,24.6528,1.26976,25.92256,265.8159169368446
alkane_342,1026,6,1,30,21,2,168.698182,0.370811,0.370542,0.741353,8.726528,0.88576,9.612288,448.8224452361465
1lyz-lysozyme,1102,6,2,310,99,3,604.055508,1.749899,1.748891,3.498791,93.212669,2.195456,95.408127,1930.440494325012
103l-hydrolase,1404,6,2,313,99,3,663.830345,2.816439,2.81515,5.631588,119.184387,2.404352,121.588737,3507.988769095391
alkane_674,2022,6,1,30,21,2,235.346417,1.439677,1.439146,2.878823,16.813057,1.34144,18.154497,1771.792304236442
alkane_1006,3018,6,1,30,21,2,540.110023,3.206922,3.20613,6.413052,24.857599,1.96608,26.823679,3684.660397004336
alkane_1338,4014,6,1,30,21,2,1244.589688,5.672547,5.671493,11.34404,33.098751,2.408448,35.507198,5890.24919597432
alkane_1671,5013,6,1,30,21,2,2017.020678,8.847136,8.845819,17.692955,41.110527,2.873344,43.983871,9397.514065727592
